customerid,birthdate,bank_account_type,longitude_gps,latitude_gps,bank_name_clients,employment_status_clients,level_of_education_clients,systemloanid,loannumber,approveddate,creationdate,loanamount,totaldue,termdays,good_bad_flag,credit score,loan_freq,loan_to_due_ratio,bank_branch_state,bank_branch_country,age,age group
8a858e135cb22031015cbafc76964ebd,1973-10-10,Savings,3.319219,6.5286039,GT Bank,Permanent,Graduate,301964962,2,2017-07-05 14:29:48,2017-07-05 13:29:42,10000.0,13000.0,30,Good,814,1,0.87,Lagos,Nigeria,51,Old-aged Adult
8a858e275c7ea5ec015c82482d7c3996,1986-01-21,Savings,3.3255983,7.1194033,Sterling Bank,Permanent,Graduate,301972172,2,2017-07-10 21:21:46,2017-07-10 20:21:40,10000.0,13000.0,30,Bad,795,1,0.77,Ogun State,Nigeria,39,Old-aged Adult
8a858e5b5bd99460015bdc95cd485634,1987-04-01,Savings,5.7460998,5.5631737,Fidelity Bank,Permanent,Graduate,301976271,4,2017-07-13 15:40:27,2017-07-13 14:40:19,10000.0,13000.0,30,Good,747,3,0.84,Delta,Nigeria,38,Old-aged Adult
8a858efd5ca70688015cabd1f1e94b55,1991-07-19,Savings,3.3628497,6.6424853,GT Bank,Permanent,Graduate,301997763,2,2017-07-26 21:03:17,2017-07-26 20:03:09,10000.0,11500.0,15,Good,300,1,0.87,Lagos,Nigeria,34,Old-aged Adult
8a858ea05a859123015a8892914d15b7,1990-07-21,Savings,3.365935,6.5648233,Access Bank,Permanent,Graduate,301992494,6,2017-07-23 21:44:43,2017-07-23 20:44:36,20000.0,24500.0,30,Good,792,5,0.79,Lagos,Nigeria,35,Old-aged Adult
8a858f405d13c45f015d13dd93ec0c1c,1992-11-17,Savings,3.2905898,6.6120747,EcoBank,Permanent,Graduate,302000213,2,2017-07-28 10:13:02,2017-07-28 09:12:57,10000.0,13000.0,30,Good,594,1,0.77,Lagos,Nigeria,32,Old-aged Adult
8a858f2a5ce989dd015ce9fc24b1474b,1994-12-11,Savings,3.3502377,7.1381618,FCMB,Permanent,Graduate,301966939,2,2017-07-06 18:25:57,2017-07-06 17:25:52,10000.0,13000.0,30,Bad,630,1,0.87,Ogun State,Nigeria,30,Middle-aged Adult
8a858f3a5c10828d015c109746d20aee,1970-07-19,Savings,5.768004,5.559055,Skye Bank,Permanent,Graduate,301983781,2,2017-07-18 12:55:38,2017-07-18 11:55:30,10000.0,13000.0,30,Good,575,1,0.77,Delta,Nigeria,55,Old-aged Adult
8a858fb4563228d201564fd7519f22a8,1994-06-03,Other,3.3810932,6.608266,UBA,Student,Secondary,301960555,7,2017-07-03 07:07:04,2017-07-03 06:05:58,30000.0,34500.0,30,Good,838,6,0.85,Lagos,Nigeria,31,Middle-aged Adult
8a858f955a61ad4e015a69ee1edd0d3d,1986-04-15,Savings,3.357961,6.5125169,GT Bank,Permanent,Graduate,301983384,5,2017-07-18 09:50:12,2017-07-18 08:50:06,20000.0,24500.0,30,Good,796,4,0.83,Lagos,Nigeria,39,Old-aged Adult
8a858ff25a6a19ee015a6abff5ed659c,1988-12-22,Savings,7.5078362,9.0483723,EcoBank,Permanent,Graduate,301977280,4,2017-07-14 10:26:41,2017-07-14 09:26:33,10000.0,13000.0,30,Good,789,3,0.77,Federal Capital Territory,Nigeria,36,Old-aged Adult
8a858e6c5c88d145015c894de1a91c5c,1988-04-22,Savings,3.363275,7.1455067,GT Bank,Permanent,Graduate,301958736,2,2017-07-01 09:55:54,2017-07-01 08:55:47,10000.0,13000.0,30,Good,667,1,0.77,Ogun State,Nigeria,37,Old-aged Adult
8a858eb45876dcc501587dae11f2283e,1989-03-07,Savings,6.9744361,4.8113433,Access Bank,Permanent,Graduate,302003197,7,2017-07-30 09:59:40,2017-07-30 08:59:34,10000.0,13000.0,30,Bad,695,6,0.82,Rivers,Nigeria,36,Old-aged Adult
8a858f2f54e28d530154ecdd303004fa,1983-05-08,Savings,3.4784832,6.4420013,Diamond Bank,Permanent,Graduate,301989564,3,2017-07-21 15:53:15,2017-07-21 14:53:07,10000.0,13000.0,30,Good,612,2,0.77,Lagos,Nigeria,42,Old-aged Adult
